Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
"Traxel, Blaine",CSUN,3,7,4,20,14,2,1,1,105,112,41,35,23,86,18,5,9,400,0.28,2,11,0
"Wentz, Ryan",CSUN,3.74,2,3,8,8,0,0,0,43.33,36,21,18,27,27,7,2,1,157,0.229,3,5,0
"Moeller, Kaden",Long Beach St.,3.38,0,1,8,2,0,0,0,10.66,11,6,4,6,10,2,1,1,40,0.275,0,1,0
"Ramirez, Luis",Long Beach St.,2.14,2,1,7,7,0,0,0,33.66,25,14,8,11,38,4,2,0,127,0.197,1,8,1
"Fields, Matt",Long Beach St.,1.99,3,2,22,0,0,0,4,40.66,29,11,9,8,39,8,0,1,147,0.197,1,3,0
"Harrison, Devereaux",Long Beach St.,6.15,5,1,19,2,0,0,5,33.66,36,25,23,17,32,4,0,6,133,0.271,3,1,0
"Carabajal, Noah",Long Beach St.,7.92,1,2,16,4,0,0,0,19.33,25,19,17,10,17,3,0,5,81,0.309,2,2,0
"Carlos, Jonathan",Long Beach St.,2.76,0,1,22,3,0,0,0,32.66,31,12,10,15,38,7,0,2,120,0.258,2,1,0
"Cebulski, Ray",Long Beach St.,4.77,0,0,9,0,0,0,0,5.66,8,4,3,3,3,3,0,0,26,0.308,2,0,0
"Chimenti, Cole",Long Beach St.,6.77,0,0,6,0,0,0,0,1.33,3,1,1,1,2,1,0,0,6,0.5,0,0,0
"Clough, Ethan",Long Beach St.,3.12,1,1,17,0,0,0,2,26,26,9,9,5,24,2,2,2,102,0.255,1,0,0
"Haley, Josh",Long Beach St.,2.36,1,1,20,1,0,0,0,26.66,18,11,7,9,19,4,0,0,94,0.191,1,0,0
"Johnson, Marques",Long Beach St.,3.25,1,1,14,6,0,0,0,44.33,30,16,16,21,51,5,0,3,158,0.19,6,3,0
"Locke, Zach",Long Beach St.,20.3,0,0,5,0,0,0,0,1.33,4,3,3,1,1,1,0,0,8,0.5,0,0,0
"Noble, Jack",Long Beach St.,3.36,6,4,18,10,0,0,0,64.33,60,27,24,20,61,15,0,8,246,0.244,2,6,0
"Ponce, Dalton",Long Beach St.,2.95,1,1,21,0,0,0,0,18.33,17,6,6,3,16,3,0,3,67,0.254,2,3,0
"Rons, Jake",Long Beach St.,5.33,0,3,18,2,0,0,0,25.33,25,16,15,7,24,6,0,5,94,0.266,3,1,0
"Voelker, Zach",Long Beach St.,6.05,4,4,16,7,0,0,0,38.66,40,26,26,18,32,5,0,4,152,0.263,4,1,1
