"Name","School","AVG","G","GS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SBA","OPS","ISO","x1B","wOBA","BB_to_K","PA","K_rate","BB_rate"
"Castro, Jacob","UC Irvine",0.264,29,20,87,11,23,5,0,1,16,31,0.264,2,2,19,3,0.297,0,0,0,0,0.561,0.092,17,0.29,0.11,91,20.9,2.2
"Nakawake, Taishi","UC Irvine",0.217,56,55,166,32,36,6,1,2,17,50,0.217,25,9,42,1,0.348,1,15,6,7,0.565,0.084,27,0.304,0.6,216,19.4,11.6
"Garcia-Pacheco, A.","UC Irvine",0.25,39,33,116,14,29,2,0,0,11,31,0.25,17,9,27,2,0.385,1,6,0,0,0.635,0.017,27,0.313,0.63,149,18.1,11.4
"McGuire, Connor","UC Irvine",0.162,42,26,99,14,16,5,2,2,19,31,0.162,7,2,26,1,0.225,3,2,1,1,0.387,0.152,7,0.237,0.27,113,23,6.2
"Spillane, Luke","UC Irvine",0.226,50,41,146,20,33,5,2,0,25,42,0.226,18,6,41,1,0.329,3,4,6,9,0.555,0.062,26,0.286,0.44,177,23.2,10.2
"Mico, J.D.","UC Davis",0.229,37,34,140,20,32,6,0,0,9,38,0.229,16,3,32,2,0.317,2,1,2,2,0.546,0.043,26,0.273,0.5,162,19.8,9.9
"Wolbert, Mark","UC Davis",0.351,41,39,151,27,53,10,3,2,15,75,0.351,21,0,49,1,0.428,1,0,3,5,0.779,0.146,38,0.405,0.43,173,28.3,12.1
"Leehey, Nick","UC Davis",0.265,40,40,155,25,41,10,0,5,29,66,0.265,16,3,43,2,0.341,2,0,1,1,0.606,0.161,26,0.338,0.37,176,24.4,9.1
"Henrickson, Jonah","UC Davis",0.248,41,41,157,20,39,8,0,4,16,59,0.248,9,9,55,1,0.326,0,0,3,5,0.574,0.127,27,0.316,0.16,175,31.4,5.1
"Iverson, Nick","UC Davis",0.28,27,24,82,8,23,6,0,1,13,32,0.28,12,7,30,0,0.416,0,0,2,3,0.696,0.11,16,0.369,0.4,101,29.7,11.9
"Brandel, Jake","UC Davis",0.196,29,26,97,9,19,2,0,0,7,21,0.196,5,1,16,2,0.24,1,0,1,2,0.436,0.021,17,0.21,0.31,104,15.4,4.8
"Sandoval, Raul","UC Davis",0.208,36,33,120,13,25,3,2,2,13,38,0.208,10,3,47,5,0.286,0,0,1,2,0.494,0.108,18,0.273,0.21,133,35.3,7.5
"Peng, Nathan","UC Davis",0.254,31,20,63,3,16,3,0,1,7,22,0.254,2,1,17,1,0.284,1,0,0,0,0.538,0.095,12,0.279,0.12,67,25.4,3
"Williams III, James","UC Davis",0.295,35,29,112,13,33,8,1,2,16,49,0.295,22,0,22,3,0.404,2,1,0,1,0.699,0.143,22,0.373,1,137,16.1,16.1
"Acosta, Riley","UC Davis",0.214,19,8,42,6,9,1,0,0,1,10,0.214,2,0,8,1,0.25,0,0,0,1,0.464,0.024,8,0.222,0.25,44,18.2,4.5
"Plascencia, Omar","UC Davis",0.207,24,18,58,9,12,2,0,0,8,14,0.207,13,1,26,2,0.356,1,0,1,1,0.563,0.034,10,0.289,0.5,73,35.6,17.8
"Arenado, Kyler","UC Davis",0.163,40,39,141,8,23,3,0,0,5,26,0.163,12,3,50,1,0.241,2,0,3,5,0.404,0.021,20,0.203,0.24,158,31.6,7.6
"Piazza, Luke","UC Davis",0.194,16,9,36,5,7,2,0,0,2,9,0.194,4,2,14,0,0.31,0,0,0,1,0.504,0.056,5,0.266,0.29,42,33.3,9.5
"Luttrell, Chase","Long Beach St.",0.312,54,54,221,33,69,17,1,9,46,115,0.312,14,5,39,1,0.365,1,1,2,5,0.677,0.208,42,0.385,0.36,242,16.1,5.8
"Peppi, Rocco","Long Beach St.",0.321,54,54,212,36,68,11,0,5,30,94,0.321,13,19,37,2,0.408,1,0,2,4,0.729,0.123,52,0.381,0.35,245,15.1,5.3
"Saldivar, Eddie","Long Beach St.",0.293,52,50,188,27,55,9,2,1,25,71,0.293,16,9,39,1,0.376,0,2,8,14,0.669,0.085,43,0.341,0.41,215,18.1,7.4
"Long, Jonathon","Long Beach St.",0.311,50,50,183,33,57,8,0,6,37,83,0.311,25,6,48,3,0.411,0,4,2,4,0.722,0.142,43,0.386,0.52,218,22,11.5
"Murillo, Sebastian","Long Beach St.",0.283,53,50,180,37,51,7,1,0,18,60,0.283,28,4,51,3,0.39,1,5,2,3,0.673,0.05,43,0.333,0.55,218,23.4,12.8
"Moeller, Kaden","Long Beach St.",0.191,26,14,47,4,9,2,0,1,2,14,0.191,2,3,18,0,0.269,0,1,0,0,0.46,0.106,6,0.26,0.11,53,34,3.8
"Pimentel, Alex","Long Beach St.",0.212,33,21,66,16,14,2,1,2,7,24,0.212,13,2,22,0,0.358,0,2,5,6,0.57,0.152,9,0.331,0.59,83,26.5,15.7
"Burns, Connor","Long Beach St.",0.162,48,42,130,15,21,4,0,1,15,28,0.162,9,0,51,1,0.214,1,3,0,0,0.376,0.054,16,0.197,0.18,143,35.7,6.3
"Rosales, Javier","Long Beach St.",0.115,14,6,26,1,3,1,0,0,1,4,0.115,4,1,13,0,0.258,0,0,0,0,0.373,0.038,2,0.211,0.31,31,41.9,12.9
"Harrison, Devereaux","Long Beach St.",0.179,27,7,28,1,5,2,0,0,2,7,0.179,0,0,12,0,0.172,1,1,0,0,0.351,0.071,3,0.18,0,30,40,0
"Carlson, Tanner","Long Beach St.",0.345,39,32,116,21,40,6,1,2,20,54,0.345,10,0,14,1,0.397,0,5,0,1,0.742,0.121,31,0.38,0.71,131,10.7,7.6
"Jimenez, Chris","Long Beach St.",0.216,35,21,88,15,19,3,0,6,14,40,0.216,9,1,25,1,0.296,0,1,0,1,0.512,0.239,10,0.329,0.36,99,25.3,9.1
"Loust, Charlie","Long Beach St.",0.239,16,11,46,9,11,3,0,2,7,20,0.239,1,2,11,0,0.286,0,0,1,1,0.525,0.196,6,0.316,0.09,49,22.4,2
"Porter, Tyler","Long Beach St.",0.263,31,19,80,7,21,3,1,0,8,26,0.263,12,1,14,1,0.366,0,0,0,0,0.629,0.062,17,0.318,0.86,93,15.1,12.9
"Schulze, Peyton","Long Beach St.",0.268,46,41,157,20,42,10,1,2,20,60,0.268,16,1,30,3,0.335,2,2,4,5,0.603,0.115,29,0.319,0.53,178,16.9,9
"White, Tyler","Long Beach St.",0.205,38,20,78,12,16,2,0,0,5,18,0.205,9,4,20,0,0.319,0,2,4,4,0.524,0.026,14,0.265,0.45,93,21.5,9.7
"Cabrera, Cole","Hawaii",0.292,52,52,192,40,56,10,0,4,34,78,0.292,32,10,40,2,0.41,5,2,14,17,0.702,0.115,42,0.367,0.8,241,16.6,13.3
"Scott, Scotty","Hawaii",0.235,46,41,136,27,32,3,0,1,10,38,0.235,31,9,25,2,0.404,2,8,5,9,0.639,0.044,28,0.33,1.24,186,13.4,16.7
"Ujimori, Aaron","Hawaii",0.237,49,47,186,29,44,6,1,1,24,55,0.237,17,9,43,4,0.33,0,8,2,7,0.567,0.059,36,0.291,0.4,220,19.5,7.7
"Wong, Matt","Hawaii",0.298,52,51,198,33,59,12,0,5,41,86,0.298,17,7,56,1,0.367,4,0,1,2,0.665,0.136,42,0.353,0.3,226,24.8,7.5
"Igawa, Jacob","Hawaii",0.267,48,47,176,30,47,13,0,7,35,81,0.267,15,12,49,4,0.363,1,1,5,6,0.63,0.193,27,0.364,0.31,205,23.9,7.3
"Duarte, Dallas","Hawaii",0.293,40,39,147,30,43,10,0,2,26,59,0.293,9,12,16,4,0.379,1,6,7,13,0.672,0.109,31,0.351,0.56,175,9.1,5.1
"Miyao,Stone","Hawaii",0.292,48,44,168,31,49,8,1,3,35,68,0.292,21,2,37,5,0.371,3,2,3,5,0.663,0.113,37,0.345,0.57,196,18.9,10.7
"Donahue, Kyson","Hawaii",0.304,38,35,125,26,38,10,0,6,21,66,0.304,24,4,52,1,0.429,1,3,2,3,0.733,0.224,22,0.418,0.46,157,33.1,15.3
