"Name","School","ERA","W","L","G","GS","CG","SHO","SV","IP","H","R","ER","BB","SO","X2B","X3B","HR","BF","BAA","WP","HBP","BK","IP_outs","FIP","SO_BB","ERA_plus","WHIP","H9","HR9","BB9","SO9","K_rate","BB_rate","K_BB_rate"
"Atkins, Tai","Hawaii",4.24,4,2,29,2,0,0,2,40.33,39,22,19,23,51,8,0,3,149,0.262,2,13,0,121,5.17,2.22,120,1.835,8.7,0.7,5.1,11.4,34.2,15.4,18.8
"Dyball, Tyler","Hawaii",6.75,1,0,6,0,0,0,0,4,6,3,3,2,1,2,0,0,17,0.353,1,0,0,12,5.06,0.5,75,0.75,13.5,0,4.5,2.2,5.9,11.8,-5.9
"Flores, Junior","Hawaii",6.14,0,0,14,0,0,0,0,7.33,8,5,5,6,4,1,0,1,29,0.276,1,1,0,22,7.6,0.67,83,1.364,9.8,1.2,7.4,4.9,13.8,20.7,-6.9
"Gustin, Harry","Hawaii",7.27,0,3,16,1,0,0,0,17.33,18,22,14,11,15,4,0,3,73,0.247,3,5,0,52,7.34,1.36,70,1.5,9.3,1.6,5.7,7.8,20.5,15.1,5.4
"Halemanu, Cade","Hawaii",4.69,4,5,15,15,0,0,0,71,76,50,37,41,71,14,1,4,280,0.271,6,4,1,213,4.69,1.73,108,1.577,9.6,0.5,5.2,9,25.4,14.6,10.8
"Ichimura, Trevor","Hawaii",2.13,1,0,10,0,0,0,0,12.66,14,5,3,3,8,2,0,1,48,0.292,0,3,0,38,5.24,2.67,238,0.868,9.9,0.7,2.1,5.7,16.7,6.2,10.5
"Pindel, Buddie","Hawaii",4.5,3,1,22,6,0,0,3,46,62,26,23,10,41,10,2,1,191,0.325,1,5,0,138,3.53,4.1,113,1.109,12.1,0.2,2,8,21.5,5.2,16.3
"Koali'i Pontes, Blaze","Hawaii",2.94,5,1,22,7,0,0,1,70.33,68,29,23,26,88,9,3,5,274,0.248,3,5,0,211,3.8,3.38,173,1.621,8.7,0.6,3.3,11.3,32.1,9.5,22.6
"Renne, Dalton","Hawaii",4.5,4,3,23,3,0,0,6,44,40,22,22,8,42,6,0,5,162,0.247,0,5,1,132,4.51,5.25,113,1.136,8.2,1,1.6,8.6,25.9,4.9,21
"Whipple, Ben","Hawaii",8.44,0,0,8,0,0,0,0,5.33,8,6,5,6,5,0,0,1,24,0.333,4,2,0,16,9.12,0.83,60,2.064,13.5,1.7,10.1,8.4,20.8,25,-4.2
"Sodersten, Blake","CSUN",5.67,5,6,19,11,0,0,1,81,103,58,51,28,75,22,2,10,341,0.302,6,7,0,243,5.11,2.68,90,1.272,11.4,1.1,3.1,8.3,22,8.2,13.8
"Wilson, Chad","CSUN",3.62,2,1,16,0,0,0,0,27.33,26,11,11,12,15,6,0,2,106,0.245,2,4,2,82,5.67,1.25,140,0.988,8.6,0.7,4,4.9,14.2,11.3,2.9
"Jauregui, Elias","CSUN",4.7,1,0,14,0,0,0,0,15.33,17,9,8,6,11,3,0,1,61,0.279,2,2,0,46,5.03,1.83,108,1.109,10,0.6,3.5,6.5,18,9.8,8.2
"Braun, Lucas","CSUN",2.91,7,4,20,10,1,0,0,74.33,62,25,24,17,77,9,1,9,274,0.226,6,6,1,223,4.49,4.53,175,1.265,7.5,1.1,2.1,9.3,28.1,6.2,21.9
"Carey, Shane","CSUN",0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4.06,NA,Inf,0,0,0,0,0,0,0,0
"Granados, Sebastian","CSUN",3.12,0,1,5,2,0,0,1,8.66,4,3,3,10,8,3,0,0,30,0.133,0,1,0,26,6.02,0.8,163,2.076,4.2,0,10.4,8.3,26.7,33.3,-6.6
"Gutierrez, Diego","CSUN",2.92,3,1,16,8,0,0,1,49.33,44,19,16,27,36,6,0,3,185,0.238,4,6,0,148,5.39,1.33,174,1.277,8,0.5,4.9,6.6,19.5,14.6,4.9
"Hoskins, Kyle","CSUN",20.25,0,0,9,0,0,0,0,4,11,9,9,3,4,4,0,1,21,0.524,1,0,0,12,7.56,1.33,25,1.75,24.8,2.2,6.8,9,19,14.3,4.7
"Lizik, Gavin","CSUN",5.4,1,0,12,1,0,0,0,13.33,16,10,8,7,11,2,0,2,53,0.302,2,1,2,40,6.16,1.57,94,1.35,10.8,1.4,4.7,7.4,20.8,13.2,7.6
"Martinez, Xavier","CSUN",3.03,2,0,23,0,0,0,1,29.66,27,13,10,10,20,8,1,4,115,0.235,2,4,0,89,5.88,2,168,1.011,8.2,1.2,3,6.1,17.4,8.7,8.7
"Ontiveros, Isaac","CSUN",11.25,0,0,7,0,0,0,0,4,10,5,5,3,1,2,0,2,16,0.625,0,1,0,12,13.06,0.33,45,1,22.5,4.5,6.8,2.2,6.2,18.8,-12.6
"Schriever, Blake","CSUN",4.63,2,2,21,0,0,0,8,23.33,23,13,12,10,22,3,1,5,89,0.258,1,1,1,70,6.37,2.2,110,1.372,8.9,1.9,3.9,8.5,24.7,11.2,13.5
"Traxel, Blaine","CSUN",3,7,4,20,14,2,1,1,105,112,41,35,23,86,18,5,9,400,0.28,2,11,0,315,4.5,3.74,169,1.038,9.6,0.8,2,7.4,21.5,5.8,15.7
"Wentz, Ryan","CSUN",3.74,2,3,8,8,0,0,0,43.33,36,21,18,27,27,7,2,1,157,0.229,3,5,0,130,5.33,1,136,1.246,7.5,0.2,5.6,5.6,17.2,17.2,0
"Moeller, Kaden","Long Beach St.",3.38,0,1,8,2,0,0,0,10.66,11,6,4,6,10,2,1,1,40,0.275,0,1,0,32,5.37,1.67,150,1.5,9.3,0.8,5.1,8.4,25,15,10
"Ramirez, Luis","Long Beach St.",2.14,2,1,7,7,0,0,0,33.66,25,14,8,11,38,4,2,0,127,0.197,1,8,1,101,3.49,3.45,237,1.455,6.7,0,2.9,10.2,29.9,8.7,21.2
"Fields, Matt","Long Beach St.",1.99,3,2,22,0,0,0,4,40.66,29,11,9,8,39,8,0,1,147,0.197,1,3,0,122,3.27,4.88,255,1.156,6.4,0.2,1.8,8.6,26.5,5.4,21.1
"Harrison, Devereaux","Long Beach St.",6.15,5,1,19,2,0,0,5,33.66,36,25,23,17,32,4,0,6,133,0.271,3,1,0,101,6.08,1.88,83,1.455,9.6,1.6,4.5,8.6,24.1,12.8,11.3
"Carabajal, Noah","Long Beach St.",7.92,1,2,16,4,0,0,0,19.33,25,19,17,10,17,3,0,5,81,0.309,2,2,0,58,7.52,1.7,64,1.397,11.6,2.3,4.7,7.9,21,12.3,8.7
"Carlos, Jonathan","Long Beach St.",2.76,0,1,22,3,0,0,0,32.66,31,12,10,15,38,7,0,2,120,0.258,2,1,0,98,3.99,2.53,184,1.622,8.5,0.6,4.1,10.5,31.7,12.5,19.2
"Cebulski, Ray","Long Beach St.",4.77,0,0,9,0,0,0,0,5.66,8,4,3,3,3,3,0,0,26,0.308,2,0,0,17,4.58,1,106,1.058,12.7,0,4.8,4.8,11.5,11.5,0
"Chimenti, Cole","Long Beach St.",6.77,0,0,6,0,0,0,0,1.33,3,1,1,1,2,1,0,0,6,0.5,0,0,0,4,3.3,2,75,2.256,20.3,0,6.8,13.5,33.3,16.7,16.6
"Clough, Ethan","Long Beach St.",3.12,1,1,17,0,0,0,2,26,26,9,9,5,24,2,2,2,102,0.255,1,0,0,78,3.79,4.8,163,1.115,9,0.7,1.7,8.3,23.5,4.9,18.6
"Haley, Josh","Long Beach St.",2.36,1,1,20,1,0,0,0,26.66,18,11,7,9,19,4,0,0,94,0.191,1,0,0,80,3.64,2.11,215,1.05,6.1,0,3,6.4,20.2,9.6,10.6
