Name,School,AVG,G,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG,BB,HBP,SO,GDP,OBP,SF,SH,SB,SBA
"Sandoval, Raul",UC Davis,0.208,36,33,120,13,25,3,2,2,13,38,0.317,10,3,47,5,0.286,0,0,1,2
"Peng, Nathan",UC Davis,0.254,31,20,63,3,16,3,0,1,7,22,0.349,2,1,17,1,0.284,1,0,0,0
"Wakil, Lateef",UC Davis,0.143,10,1,7,2,1,0,1,0,1,3,0.429,1,0,4,0,0.222,1,0,0,0
"Williams III, James",UC Davis,0.295,35,29,112,13,33,8,1,2,16,49,0.438,22,0,22,3,0.404,2,1,0,1
"Acosta, Riley",UC Davis,0.214,19,8,42,6,9,1,0,0,1,10,0.238,2,0,8,1,0.250,0,0,0,1
"Plascencia, Omar",UC Davis,0.207,24,18,58,9,12,2,0,0,8,14,0.241,13,1,26,2,0.356,1,0,1,1
"Cruz, Daniel",UC Davis,0.067,6,3,15,2,1,0,0,0,2,1,0.067,2,0,5,0,0.176,0,0,0,0
"Seeman, Carson",UC Davis,0.000,19,10,14,0,0,0,0,0,1,0,0.000,1,1,11,0,0.125,0,0,0,0
"Arenado, Kyler",UC Davis,0.163,40,39,141,8,23,3,0,0,5,26,0.184,12,3,50,1,0.241,2,0,3,5
"Meredith, Nolan",UC Davis,0.000,17,7,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Riccomini, Kaden",UC Davis,0.000,12,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Barrera, Jacob",UC Davis,0.000,1,0,1,0,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0,0
"Carrion, Daniel",UC Davis,0.167,21,7,12,1,2,0,0,0,0,2,0.167,0,1,6,0,0.231,0,0,0,0
"Costopoulos, Matt",UC Davis,0.000,4,1,7,0,0,0,0,0,0,0,0.000,1,0,2,0,0.125,0,0,0,0
"Freeman, Nate",UC Davis,0.000,14,5,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Green, Bryan",UC Davis,0.000,15,6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Janowicz, Kai",UC Davis,0.000,10,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"LaCour, Andrew",UC Davis,0.000,17,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Lemos, Nate",UC Davis,0.000,12,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Linnehan, Shea",UC Davis,0.333,4,0,3,0,1,0,0,0,1,1,0.333,0,0,1,0,0.333,0,0,0,0
"Piazza, Luke",UC Davis,0.194,16,9,36,5,7,2,0,0,2,9,0.250,4,2,14,0,0.310,0,0,0,1
"Ryder, Nico",UC Davis,0.000,2,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Yau, Leroy",UC Davis,0.000,13,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Luttrell, Chase",Long Beach St.,0.312,54,54,221,33,69,17,1,9,46,115,0.520,14,5,39,1,0.365,1,1,2,5
"Peppi, Rocco",Long Beach St.,0.321,54,54,212,36,68,11,0,5,30,94,0.443,13,19,37,2,0.408,1,0,2,4
"Saldivar, Eddie",Long Beach St.,0.293,52,50,188,27,55,9,2,1,25,71,0.378,16,9,39,1,0.376,0,2,8,14
"Long, Jonathon",Long Beach St.,0.311,50,50,183,33,57,8,0,6,37,83,0.454,25,6,48,3,0.411,0,4,2,4
"Murillo, Sebastian",Long Beach St.,0.283,53,50,180,37,51,7,1,0,18,60,0.333,28,4,51,3,0.390,1,5,2,3
"Moeller, Kaden",Long Beach St.,0.191,26,14,47,4,9,2,0,1,2,14,0.298,2,3,18,0,0.269,0,1,0,0
"Pimentel, Alex",Long Beach St.,0.212,33,21,66,16,14,2,1,2,7,24,0.364,13,2,22,0,0.358,0,2,5,6
"Burns, Connor",Long Beach St.,0.162,48,42,130,15,21,4,0,1,15,28,0.215,9,0,51,1,0.214,1,3,0,0
"Rosales, Javier",Long Beach St.,0.115,14,6,26,1,3,1,0,0,1,4,0.154,4,1,13,0,0.258,0,0,0,0
"Ramirez, Luis",Long Beach St.,0.000,7,7,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Fields, Matt",Long Beach St.,0.000,21,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Harrison, Devereaux",Long Beach St.,0.179,27,7,28,1,5,2,0,0,2,7,0.250,0,0,12,0,0.172,1,1,0,0
"Anderson, Jared",Long Beach St.,0.167,5,0,6,0,1,0,0,0,1,1,0.167,0,0,3,0,0.167,0,0,0,0
"Carabajal, Noah",Long Beach St.,0.000,12,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Carlos, Jonathan",Long Beach St.,0.000,19,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Carlson, Tanner",Long Beach St.,0.345,39,32,116,21,40,6,1,2,20,54,0.466,10,0,14,1,0.397,0,5,0,1
"Castillo, Tommy",Long Beach St.,0.000,11,0,1,1,0,0,0,0,0,0,0.000,0,2,1,0,0.667,0,0,1,1
"Cebulski, Ray",Long Beach St.,0.000,5,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Chimenti, Cole",Long Beach St.,0.000,2,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Clough, Ethan",Long Beach St.,0.000,15,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Haley, Josh",Long Beach St.,0.000,17,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Jimenez, Chris",Long Beach St.,0.216,35,21,88,15,19,3,0,6,14,40,0.455,9,1,25,1,0.296,0,1,0,1
"Johnson, Marques",Long Beach St.,0.000,14,6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Locke, Zach",Long Beach St.,0.000,2,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Lopez, Jesse",Long Beach St.,0.091,16,4,22,1,2,1,0,0,1,3,0.136,2,2,7,1,0.231,0,0,0,0
"Loust, Charlie",Long Beach St.,0.239,16,11,46,9,11,3,0,2,7,20,0.435,1,2,11,0,0.286,0,0,1,1
"Noble, Jack",Long Beach St.,0.000,17,10,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ponce, Dalton",Long Beach St.,0.000,16,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Porter, Tyler",Long Beach St.,0.263,31,19,80,7,21,3,1,0,8,26,0.325,12,1,14,1,0.366,0,0,0,0
"Ramirez, Isaac",Long Beach St.,0.130,15,5,23,1,3,1,0,0,2,4,0.174,2,1,17,0,0.231,0,0,0,0
"Rons, Jake",Long Beach St.,0.000,17,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
